,Service Name,Transport Protocol,Description
1671,netview-aix-11,"tcp, udp",netview-aix-11
1672,netview-aix-12,"tcp, udp",netview-aix-12
1673,proshare-mc-1,"tcp, udp",Intel Proshare Multicast
1674,proshare-mc-2,"tcp, udp",Intel Proshare Multicast
1675,pdp,"tcp, udp",Pacific Data Products
1676,"netcomm1, netcomm2","tcp, udp","netcomm1, netcomm2"
1677,groupwise,"tcp, udp",groupwise
1678,prolink,"tcp, udp",prolink
1679,darcorp-lm,"tcp, udp",darcorp-lm
1680,microcom-sbp,"tcp, udp",microcom-sbp
1681,sd-elmd,"tcp, udp",sd-elmd
1682,lanyon-lantern,"tcp, udp",lanyon-lantern
1683,ncpm-hip,"tcp, udp",ncpm-hip
1684,snaresecure,"tcp, udp",SnareSecure
1685,n2nremote,"tcp, udp",n2nremote
1686,cvmon,"tcp, udp",cvmon
1687,nsjtp-ctrl,"tcp, udp",nsjtp-ctrl
1688,nsjtp-data,"tcp, udp",nsjtp-data
1689,firefox,"tcp, udp",firefox
1690,ng-umds,"tcp, udp",ng-umds
1691,empire-empuma,"tcp, udp",empire-empuma
1692,sstsys-lm,"tcp, udp",sstsys-lm
1693,rrirtr,"tcp, udp",rrirtr
1694,rrimwm,"tcp, udp",rrimwm
1695,rrilwm,"tcp, udp",rrilwm
1696,rrifmm,"tcp, udp",rrifmm
1697,rrisat,"tcp, udp",rrisat
1698,rsvp-encap-1,"tcp, udp",RSVP-ENCAPSULATION-1
1699,rsvp-encap-2,"tcp, udp",RSVP-ENCAPSULATION-2
1700,mps-raft,"tcp, udp",mps-raft
1701,"l2tp, l2f","tcp, udp","l2tp, l2f"
1702,deskshare,"tcp, udp",deskshare
1703,hb-engine,"tcp, udp",hb-engine
1704,bcs-broker,"tcp, udp",bcs-broker
1705,slingshot,"tcp, udp",slingshot
1706,jetform,"tcp, udp",jetform
1707,vdmplay,"tcp, udp",vdmplay
1708,gat-lmd,"tcp, udp",gat-lmd
1709,centra,"tcp, udp",centra
1710,impera,"tcp, udp",impera
1711,pptconference,"tcp, udp",pptconference
1712,registrar,"tcp, udp",resource monitoring service
1713,conferencetalk,"tcp, udp",ConferenceTalk
1714,sesi-lm,"tcp, udp",sesi-lm
1715,houdini-lm,"tcp, udp",houdini-lm
1716,xmsg,"tcp, udp",xmsg
1717,fj-hdnet,"tcp, udp",fj-hdnet
1718,h323gatedisc,"tcp, udp",H.323 Multicast Gatekeeper Discover
1719,h323gatestat,"tcp, udp",H.323 Unicast Gatekeeper Signaling
1720,h323hostcall,"sctp, tcp, udp","H.323 Call Control Signalling, H.323 Call Control"
1721,caicci,"tcp, udp",caicci
1722,hks-lm,"tcp, udp",HKS License Manager
1723,pptp,"tcp, udp",pptp
1724,csbphonemaster,"tcp, udp",csbphonemaster
1725,iden-ralp,"tcp, udp",iden-ralp
1726,iberiagames,"tcp, udp",IBERIAGAMES
1727,winddx,"tcp, udp",winddx
1728,telindus,"tcp, udp",TELINDUS
1729,citynl,"tcp, udp",CityNL License Management
1730,roketz,"tcp, udp",roketz
1731,msiccp,"tcp, udp",MSICCP
1732,proxim,"tcp, udp",proxim
1733,siipat,"tcp, udp",SIMS - SIIPAT Protocol for Alarm Transmission
1734,cambertx-lm,"tcp, udp",Camber Corporation License Management
1735,privatechat,"tcp, udp",PrivateChat
1736,street-stream,"tcp, udp",street-stream
1737,ultimad,"tcp, udp",ultimad
1738,gamegen1,"tcp, udp",GameGen1
1739,webaccess,"tcp, udp",webaccess
1740,encore,"tcp, udp",encore
1741,cisco-net-mgmt,"tcp, udp",cisco-net-mgmt
1742,3Com-nsd,"tcp, udp",3Com-nsd
1743,cinegrfx-lm,"tcp, udp",Cinema Graphics License Manager
1744,ncpm-ft,"tcp, udp",ncpm-ft
1745,remote-winsock,"tcp, udp",remote-winsock
1746,ftrapid-1,"tcp, udp",ftrapid-1
1747,ftrapid-2,"tcp, udp",ftrapid-2
1748,oracle-em1,"tcp, udp",oracle-em1
1749,aspen-services,"tcp, udp",aspen-services
1750,sslp,"tcp, udp",Simple Socket Library's PortMaster
1751,swiftnet,"tcp, udp",SwiftNet
1752,lofr-lm,"tcp, udp",Leap of Faith Research License Manager
1753,predatar-comms,"tcp, udp",Predatar Comms Service
1754,oracle-em2,"tcp, udp",oracle-em2
1755,ms-streaming,"tcp, udp",ms-streaming
1756,capfast-lmd,"tcp, udp",capfast-lmd
1757,cnhrp,"tcp, udp",cnhrp
1758,tftp-mcast,"tcp, udp",tftp-mcast
1759,spss-lm,"tcp, udp",SPSS License Manager
1760,www-ldap-gw,"tcp, udp",www-ldap-gw
1761,cft-0,"tcp, udp",cft-0
1762,cft-1,"tcp, udp",cft-1
1763,cft-2,"tcp, udp",cft-2
1764,cft-3,"tcp, udp",cft-3
1765,cft-4,"tcp, udp",cft-4
1766,cft-5,"tcp, udp",cft-5
1767,cft-6,"tcp, udp",cft-6
1768,cft-7,"tcp, udp",cft-7
1769,bmc-net-adm,"tcp, udp",bmc-net-adm
1770,bmc-net-svc,"tcp, udp",bmc-net-svc
1771,vaultbase,"tcp, udp",vaultbase
1772,essweb-gw,"tcp, udp",EssWeb Gateway
1773,kmscontrol,"tcp, udp",KMSControl
1774,global-dtserv,"tcp, udp",global-dtserv
1775,vdab,"tcp, udp",data interchange between visual processing containers
1776,femis,"tcp, udp",Federal Emergency Management Information System
1777,powerguardian,"tcp, udp",powerguardian
1778,prodigy-intrnet,"tcp, udp",prodigy-internet
1779,pharmasoft,"tcp, udp",pharmasoft
1780,dpkeyserv,"tcp, udp",dpkeyserv
1781,answersoft-lm,"tcp, udp",answersoft-lm
1782,hp-hcip,"tcp, udp",hp-hcip
1783,nan,,"Decomissioned Port 04/14/00, ms"
1784,finle-lm,"tcp, udp",Finle License Manager
1785,windlm,"tcp, udp",Wind River Systems License Manager
1786,funk-logger,"tcp, udp",funk-logger
1787,funk-license,"tcp, udp",funk-license
1788,psmond,"tcp, udp",psmond
1789,hello,"tcp, udp",hello
1790,nmsp,"tcp, udp",Narrative Media Streaming Protocol
1791,ea1,"tcp, udp",EA1
1792,ibm-dt-2,"tcp, udp",ibm-dt-2
1793,rsc-robot,"tcp, udp",rsc-robot
1794,cera-bcm,"tcp, udp",cera-bcm
1795,dpi-proxy,"tcp, udp",dpi-proxy
1796,vocaltec-admin,"tcp, udp",Vocaltec Server Administration
1797,uma,"tcp, udp",UMA
1798,etp,"tcp, udp",Event Transfer Protocol
1799,netrisk,"tcp, udp",NETRISK
1800,ansys-lm,"tcp, udp",ANSYS-License manager
1801,msmq,"tcp, udp",Microsoft Message Que
1802,concomp1,"tcp, udp",ConComp1
1803,hp-hcip-gwy,"tcp, udp",HP-HCIP-GWY
1804,enl,"tcp, udp",ENL
1805,enl-name,"tcp, udp",ENL-Name
1806,musiconline,"tcp, udp",Musiconline
1807,fhsp,"tcp, udp",Fujitsu Hot Standby Protocol
1808,oracle-vp2,"tcp, udp",Oracle-VP2
1809,oracle-vp1,"tcp, udp",Oracle-VP1
1810,jerand-lm,"tcp, udp",Jerand License Manager
1811,scientia-sdb,"tcp, udp",Scientia-SDB
1812,radius,"tcp, udp",RADIUS
1813,radius-acct,"tcp, udp",RADIUS Accounting
1814,tdp-suite,"tcp, udp",TDP Suite
1815,mmpft,"tcp, udp",Manufacturing messaging protocol for factory transmission
1816,harp,"tcp, udp",HARP
1817,rkb-oscs,"tcp, udp",RKB-OSCS
1818,etftp,"tcp, udp",Enhanced Trivial File Transfer Protocol
1819,plato-lm,"tcp, udp",Plato License Manager
1820,mcagent,"tcp, udp",mcagent
1821,donnyworld,"tcp, udp",donnyworld
1822,es-elmd,"tcp, udp",es-elmd
1823,unisys-lm,"tcp, udp",Unisys Natural Language License Manager
1824,metrics-pas,"tcp, udp",metrics-pas
1825,direcpc-video,"tcp, udp",DirecPC Video
1826,ardt,"tcp, udp",ARDT
1827,asi,"tcp, udp",ASI
1828,itm-mcell-u,"tcp, udp",itm-mcell-u
1829,optika-emedia,"tcp, udp",Optika eMedia
1830,net8-cman,"tcp, udp",Oracle Net8 CMan Admin
1831,myrtle,"tcp, udp",Myrtle
1832,tht-treasure,"tcp, udp",ThoughtTreasure
1833,udpradio,"tcp, udp",udpradio
1834,ardusuni,"tcp, udp",ARDUS Unicast
1835,ardusmul,"tcp, udp",ARDUS Multicast
1836,ste-smsc,"tcp, udp",ste-smsc
1837,csoft1,"tcp, udp",csoft1
1838,talnet,"tcp, udp",TALNET
1839,netopia-vo1,"tcp, udp",netopia-vo1
1840,netopia-vo2,"tcp, udp",netopia-vo2
1841,netopia-vo3,"tcp, udp",netopia-vo3
1842,netopia-vo4,"tcp, udp",netopia-vo4
1843,netopia-vo5,"tcp, udp",netopia-vo5
1844,direcpc-dll,"tcp, udp",DirecPC-DLL
1845,altalink,"tcp, udp",altalink
1846,tunstall-pnc,"tcp, udp",Tunstall PNC
1847,slp-notify,"tcp, udp",SLP Notification
1848,fjdocdist,"tcp, udp",fjdocdist
1849,alpha-sms,"tcp, udp",ALPHA-SMS
1850,gsi,"tcp, udp",GSI
1851,ctcd,"tcp, udp",ctcd
1852,virtual-time,"tcp, udp",Virtual Time
1853,vids-avtp,"tcp, udp",VIDS-AVTP
1854,buddy-draw,"tcp, udp",Buddy Draw
1855,fiorano-rtrsvc,"tcp, udp",Fiorano RtrSvc
1856,fiorano-msgsvc,"tcp, udp",Fiorano MsgSvc
1857,datacaptor,"tcp, udp",DataCaptor
1858,privateark,"tcp, udp",PrivateArk
1859,gammafetchsvr,"tcp, udp",Gamma Fetcher Server
1860,sunscalar-svc,"tcp, udp",SunSCALAR Services
1861,lecroy-vicp,"tcp, udp",LeCroy VICP
1862,mysql-cm-agent,"tcp, udp",MySQL Cluster Manager Agent
1863,msnp,"tcp, udp",MSNP
1864,paradym-31port,"tcp, udp",Paradym 31 Port
1865,entp,"tcp, udp",ENTP
1866,swrmi,"tcp, udp",swrmi
1867,udrive,"tcp, udp",UDRIVE
1868,viziblebrowser,"tcp, udp",VizibleBrowser
1869,transact,"tcp, udp",TransAct
1870,sunscalar-dns,"tcp, udp",SunSCALAR DNS Service
1871,canocentral0,"tcp, udp",Cano Central 0
1872,canocentral1,"tcp, udp",Cano Central 1
1873,fjmpjps,"tcp, udp",Fjmpjps
1874,fjswapsnp,"tcp, udp",Fjswapsnp
1875,westell-stats,"tcp, udp",westell stats
1876,ewcappsrv,"tcp, udp",ewcappsrv
1877,hp-webqosdb,"tcp, udp",hp-webqosdb
1878,drmsmc,"tcp, udp",drmsmc
1879,nettgain-nms,"tcp, udp",NettGain NMS
1880,vsat-control,"tcp, udp",Gilat VSAT Control
1881,ibm-mqseries2,"tcp, udp",IBM WebSphere MQ Everyplace
1882,ecsqdmn,"tcp, udp",CA eTrust Common Services
1883,mqtt,"tcp, udp",Message Queuing Telemetry Transport Protocol
1884,idmaps,"tcp, udp",Internet Distance Map Svc
1885,vrtstrapserver,"tcp, udp",Veritas Trap Server
1886,leoip,"tcp, udp",Leonardo over IP
1887,filex-lport,"tcp, udp",FileX Listening Port
1888,ncconfig,"tcp, udp",NC Config Port
1889,unify-adapter,"tcp, udp",Unify Web Adapter Service
1890,wilkenlistener,"tcp, udp",wilkenListener
1891,childkey-notif,"tcp, udp",ChildKey Notification
1892,childkey-ctrl,"tcp, udp",ChildKey Control
1893,elad,"tcp, udp",ELAD Protocol
1894,o2server-port,"tcp, udp",O2Server Port
1895,nan,"tcp, udp",unassigned
1896,b-novative-ls,"tcp, udp",b-novative license server
1897,metaagent,"tcp, udp",MetaAgent
1898,cymtec-port,"tcp, udp",Cymtec secure management
1899,mc2studios,"tcp, udp",MC2Studios
1900,ssdp,"tcp, udp",SSDP
1901,fjicl-tep-a,"tcp, udp",Fujitsu ICL Terminal Emulator Program A
1902,fjicl-tep-b,"tcp, udp",Fujitsu ICL Terminal Emulator Program B
1903,linkname,"tcp, udp",Local Link Name Resolution
1904,fjicl-tep-c,"tcp, udp",Fujitsu ICL Terminal Emulator Program C
1905,sugp,"tcp, udp",Secure UP.Link Gateway Protocol
1906,tpmd,"tcp, udp",TPortMapperReq
1907,intrastar,"tcp, udp",IntraSTAR
1908,dawn,"tcp, udp",Dawn
1909,global-wlink,"tcp, udp",Global World Link
1910,ultrabac,"tcp, udp",UltraBac Software communications port
1911,mtp,"tcp, udp",Starlight Networks Multimedia Transport Protocol
1912,rhp-iibp,"tcp, udp",rhp-iibp
1913,armadp,"tcp, udp",armadp
1914,elm-momentum,"tcp, udp",Elm-Momentum
1915,facelink,"tcp, udp",FACELINK
1916,persona,"tcp, udp",Persoft Persona
1917,noagent,"tcp, udp",nOAgent
1918,can-nds,"tcp, udp",IBM Tivole Directory Service - NDS
1919,can-dch,"tcp, udp",IBM Tivoli Directory Service - DCH
1920,can-ferret,"tcp, udp",IBM Tivoli Directory Service - FERRET
1921,noadmin,"tcp, udp",NoAdmin
1922,tapestry,"tcp, udp",Tapestry
1923,spice,"tcp, udp",SPICE
1924,xiip,"tcp, udp",XIIP
1925,discovery-port,"tcp, udp",Surrogate Discovery Port
1926,egs,"tcp, udp",Evolution Game Server
1927,videte-cipc,"tcp, udp",Videte CIPC Port
1928,emsd-port,"tcp, udp",Expnd Maui Srvr Dscovr
1929,bandwiz-system,"tcp, udp",Bandwiz System - Server
1930,driveappserver,"tcp, udp",Drive AppServer
1931,amdsched,"tcp, udp",AMD SCHED
1932,ctt-broker,"tcp, udp",CTT Broker
1933,xmapi,"tcp, udp",IBM LM MT Agent
1934,xaapi,"tcp, udp",IBM LM Appl Agent
1935,macromedia-fcs,"tcp, udp","Macromedia Flash Communications server MX, Macromedia Flash Communications Server MX"
1936,jetcmeserver,"tcp, udp",JetCmeServer Server Port
1937,jwserver,"tcp, udp",JetVWay Server Port
1938,jwclient,"tcp, udp",JetVWay Client Port
1939,jvserver,"tcp, udp",JetVision Server Port
1940,jvclient,"tcp, udp",JetVision Client Port
1941,dic-aida,"tcp, udp",DIC-Aida
1942,res,"tcp, udp",Real Enterprise Service
1943,beeyond-media,"tcp, udp",Beeyond Media
1944,close-combat,"tcp, udp",close-combat
1945,dialogic-elmd,"tcp, udp",dialogic-elmd
1946,tekpls,"tcp, udp",tekpls
1947,sentinelsrm,"tcp, udp",SentinelSRM
1948,eye2eye,"tcp, udp",eye2eye
1949,ismaeasdaqlive,"tcp, udp",ISMA Easdaq Live
1950,ismaeasdaqtest,"tcp, udp",ISMA Easdaq Test
1951,bcs-lmserver,"tcp, udp",bcs-lmserver
1952,mpnjsc,"tcp, udp",mpnjsc
1953,rapidbase,"tcp, udp",Rapid Base
1954,abr-api,"tcp, udp",ABR-API (diskbridge)
1955,abr-secure,"tcp, udp",ABR-Secure Data (diskbridge)
1956,vrtl-vmf-ds,"tcp, udp",Vertel VMF DS
1957,unix-status,"tcp, udp",unix-status
1958,dxadmind,"tcp, udp",CA Administration Daemon
1959,simp-all,"tcp, udp",SIMP Channel
1960,nasmanager,"tcp, udp",Merit DAC NASmanager
1961,bts-appserver,"tcp, udp",BTS APPSERVER
1962,biap-mp,"tcp, udp",BIAP-MP
1963,webmachine,"tcp, udp",WebMachine
1964,solid-e-engine,"tcp, udp",SOLID E ENGINE
1965,tivoli-npm,"tcp, udp",Tivoli NPM
1966,slush,"tcp, udp",Slush
1967,sns-quote,"tcp, udp",SNS Quote
1968,lipsinc,"tcp, udp",LIPSinc
1969,lipsinc1,"tcp, udp",LIPSinc 1
1970,netop-rc,"tcp, udp",NetOp Remote Control
1971,netop-school,"tcp, udp",NetOp School
1972,intersys-cache,"tcp, udp",Cache
1973,dlsrap,"tcp, udp",Data Link Switching Remote Access Protocol
1974,drp,"tcp, udp",DRP
1975,tcoflashagent,"tcp, udp",TCO Flash Agent
1976,tcoregagent,"tcp, udp",TCO Reg Agent
1977,tcoaddressbook,"tcp, udp",TCO Address Book
1978,unisql,"tcp, udp",UniSQL
1979,unisql-java,"tcp, udp",UniSQL Java
1980,pearldoc-xact,"tcp, udp",PearlDoc XACT
1981,p2pq,"tcp, udp",p2pQ
1982,estamp,"tcp, udp",Evidentiary Timestamp
1983,lhtp,"tcp, udp",Loophole Test Protocol
1984,bb,"tcp, udp",BB
1985,hsrp,"tcp, udp",Hot Standby Router Protocol
1986,licensedaemon,"tcp, udp",cisco license management
1987,tr-rsrb-p1,"tcp, udp",cisco RSRB Priority 1 port
1988,tr-rsrb-p2,"tcp, udp",cisco RSRB Priority 2 port
1989,"tr-rsrb-p3, mshnet","tcp, udp","cisco RSRB Priority 3 port, MHSnet system"
1990,stun-p1,"tcp, udp",cisco STUN Priority 1 port
1991,stun-p2,"tcp, udp",cisco STUN Priority 2 port
1992,"ipsendmsg, stun-p3","tcp, udp","cisco STUN Priority 3 port, IPsendmsg"
1993,snmp-tcp-port,"tcp, udp",cisco SNMP TCP port
1994,stun-port,"tcp, udp",cisco serial tunnel port
1995,perf-port,"tcp, udp",cisco perf port
1996,tr-rsrb-port,"tcp, udp",cisco Remote SRB port
1997,gdp-port,"tcp, udp",cisco Gateway Discovery Protocol
1998,x25-svc-port,"tcp, udp",cisco X.25 service (XOT)
1999,tcp-id-port,"tcp, udp",cisco identification port
2000,cisco-sccp,"tcp, udp","Cisco SCCp, Cisco SCCP"
2001,"wizard, dc","tcp, udp","nan, curry"
2002,globe,"tcp, udp",nan
2003,brutus,"tcp, udp",Brutus Server
2004,"mailbox, emce","tcp, udp","CCWS mm conf, nan"
2005,"berknet, oracle","tcp, udp",nan
2006,"invokator, raid-cd","tcp, udp","raid, nan"
2007,"dectalk, raid-am","tcp, udp",nan
2008,"terminaldb, conf","tcp, udp",nan
2009,"whosockami, news","tcp, udp",nan
2010,"pipe_server, pipe-server, search","tcp, udp","nan, IANA assigned this well-formed service name as a replacement for ""pipe_server""."
2011,"servserv, raid-cc","tcp, udp","raid, nan"
2012,"raid-ac, ttyinfo","tcp, udp",nan
2013,raid-cd,"tcp, udp",nan
2014,"raid-sf, troff","tcp, udp",nan
2015,"raid-cs, cypress","tcp, udp",nan
2016,bootserver,"tcp, udp",nan
2017,"bootclient, cypress-stat","tcp, udp",nan
2018,rellpack,"tcp, udp",nan
2019,about,"tcp, udp",nan
2020,xinupageserver,"tcp, udp",nan
2021,"xinuexpansion1, servexec","tcp, udp",nan
2022,"xinuexpansion2, down","tcp, udp",nan
2023,xinuexpansion3,"tcp, udp",nan
2024,xinuexpansion4,"tcp, udp",nan
2025,"xribs, ellpack","tcp, udp",nan
2026,scrabble,"tcp, udp",nan
2027,shadowserver,"tcp, udp",nan
2028,submitserver,"tcp, udp",nan
2029,hsrpv6,"tcp, udp",Hot Standby Router Protocol IPv6
2030,device2,"tcp, udp",nan
2031,mobrien-chat,"tcp, udp",mobrien-chat
2032,blackboard,"tcp, udp",nan
2033,glogger,"tcp, udp",nan
2034,scoremgr,"tcp, udp",nan
2035,imsldoc,"tcp, udp",nan
2036,e-dpnet,"tcp, udp",Ethernet WS DP network
2037,applus,"tcp, udp",APplus Application Server
2038,objectmanager,"tcp, udp",nan
2039,prizma,"tcp, udp",Prizma Monitoring Service
2040,lam,"tcp, udp",nan
2041,interbase,"tcp, udp",nan
2042,isis,"tcp, udp",isis
2043,isis-bcast,"tcp, udp",isis-bcast
2044,rimsl,"tcp, udp",nan
2045,cdfunc,"tcp, udp",nan
2046,sdfunc,"tcp, udp",nan
2047,dls,"tcp, udp",nan
2048,dls-monitor,"tcp, udp",nan
2049,"nfs, shilp","sctp, tcp, udp","Network File System - Sun Microsystems, nan, Network File System"
2050,av-emb-config,"tcp, udp",Avaya EMB Config Port
2051,epnsdp,"tcp, udp",EPNSDP
2052,clearvisn,"tcp, udp",clearVisn Services Port
2053,lot105-ds-upd,"tcp, udp",Lot105 DSuper Updates
2054,weblogin,"tcp, udp",Weblogin Port
2055,iop,"tcp, udp",Iliad-Odyssey Protocol
2056,omnisky,"tcp, udp",OmniSky Port
2057,rich-cp,"tcp, udp",Rich Content Protocol
2058,newwavesearch,"tcp, udp",NewWaveSearchables RMI
2059,bmc-messaging,"tcp, udp",BMC Messaging Service
2060,teleniumdaemon,"tcp, udp",Telenium Daemon IF
2061,netmount,"tcp, udp",NetMount
2062,icg-swp,"tcp, udp",ICG SWP Port
2063,icg-bridge,"tcp, udp",ICG Bridge Port
2064,icg-iprelay,"tcp, udp",ICG IP Relay Port
2065,dlsrpn,"tcp, udp",Data Link Switch Read Port Number
2066,aura,"tcp, udp",AVM USB Remote Architecture
2067,dlswpn,"tcp, udp",Data Link Switch Write Port Number
2068,avauthsrvprtcl,"tcp, udp",Avocent AuthSrv Protocol
2069,event-port,"tcp, udp",HTTP Event Port
2070,ah-esp-encap,"tcp, udp",AH and ESP Encapsulated in UDP packet
2071,acp-port,"tcp, udp",Axon Control Protocol
2072,msync,"tcp, udp",GlobeCast mSync
2073,gxs-data-port,"tcp, udp",DataReel Database Socket
2074,vrtl-vmf-sa,"tcp, udp",Vertel VMF SA
2075,newlixengine,"tcp, udp",Newlix ServerWare Engine
2076,newlixconfig,"tcp, udp",Newlix JSPConfig
2077,tsrmagt,"tcp, udp",Old Tivoli Storage Manager
2078,tpcsrvr,"tcp, udp",IBM Total Productivity Center Server
2079,idware-router,"tcp, udp",IDWARE Router Port
2080,autodesk-nlm,"tcp, udp",Autodesk NLM (FLEXlm)
2081,kme-trap-port,"tcp, udp",KME PRINTER TRAP PORT
2082,infowave,"tcp, udp",Infowave Mobility Server
2083,radsec,"tcp, udp",Secure Radius Service
2084,sunclustergeo,"tcp, udp",SunCluster Geographic
2085,ada-cip,"tcp, udp",ADA Control
2086,gnunet,"tcp, udp",GNUnet
2087,eli,"tcp, udp",ELI - Event Logging Integration
2088,ip-blf,"tcp, udp",IP Busy Lamp Field
2089,sep,"tcp, udp",Security Encapsulation Protocol - SEP
2090,lrp,"tcp, udp",Load Report Protocol
2091,prp,"tcp, udp",PRP
2092,descent3,"tcp, udp",Descent 3
2093,nbx-cc,"tcp, udp",NBX CC
2094,nbx-au,"tcp, udp",NBX AU
2095,nbx-ser,"tcp, udp",NBX SER
2096,nbx-dir,"tcp, udp",NBX DIR
2097,jetformpreview,"tcp, udp",Jet Form Preview
2098,dialog-port,"tcp, udp",Dialog Port
2099,h2250-annex-g,"tcp, udp",H.225.0 Annex G Signalling
2100,amiganetfs,"tcp, udp",Amiga Network Filesystem
2101,rtcm-sc104,"tcp, udp",rtcm-sc104
2102,zephyr-srv,"tcp, udp",Zephyr server
2103,zephyr-clt,"tcp, udp",Zephyr serv-hm connection
2104,zephyr-hm,"tcp, udp",Zephyr hostmanager
2105,minipay,"tcp, udp",MiniPay
2106,mzap,"tcp, udp",MZAP
2107,bintec-admin,"tcp, udp",BinTec Admin
2108,comcam,"tcp, udp",Comcam
2109,ergolight,"tcp, udp",Ergolight
2110,umsp,"tcp, udp",UMSP
2111,dsatp,"tcp, udp",OPNET Dynamic Sampling Agent Transaction Protocol
2112,idonix-metanet,"tcp, udp",Idonix MetaNet
2113,hsl-storm,"tcp, udp",HSL StoRM
2114,ariascribe,"tcp, udp",Classical Music Meta-Data Access and Enhancement
2115,kdm,"tcp, udp",Key Distribution Manager
2116,ccowcmr,"tcp, udp",CCOWCMR
2117,mentaclient,"tcp, udp",MENTACLIENT
2118,mentaserver,"tcp, udp",MENTASERVER
2119,gsigatekeeper,"tcp, udp",GSIGATEKEEPER
2120,qencp,"tcp, udp",Quick Eagle Networks CP
2121,scientia-ssdb,"tcp, udp",SCIENTIA-SSDB
2122,caupc-remote,"tcp, udp",CauPC Remote Control
2123,gtp-control,"tcp, udp",GTP-Control Plane (3GPP)
2124,elatelink,"tcp, udp",ELATELINK
2125,lockstep,"tcp, udp",LOCKSTEP
2126,pktcable-cops,"tcp, udp",PktCable-COPS
2127,index-pc-wb,"tcp, udp",INDEX-PC-WB
2128,net-steward,"tcp, udp",Net Steward Control
2129,cs-live,"tcp, udp",cs-live.com
2130,xds,"tcp, udp",XDS
2131,avantageb2b,"tcp, udp",Avantageb2b
2132,solera-epmap,"tcp, udp",SoleraTec End Point Map
2133,zymed-zpp,"tcp, udp",ZYMED-ZPP
2134,avenue,"tcp, udp",AVENUE
2135,gris,"tcp, udp",Grid Resource Information Server
2136,appworxsrv,"tcp, udp",APPWORXSRV
2137,connect,"tcp, udp",CONNECT
2138,unbind-cluster,"tcp, udp",UNBIND-CLUSTER
2139,ias-auth,"tcp, udp",IAS-AUTH
2140,ias-reg,"tcp, udp",IAS-REG
2141,ias-admind,"tcp, udp",IAS-ADMIND
2142,tdmoip,"tcp, udp",TDM OVER IP
2143,lv-jc,"tcp, udp",Live Vault Job Control
2144,lv-ffx,"tcp, udp",Live Vault Fast Object Transfer
2145,lv-pici,"tcp, udp",Live Vault Remote Diagnostic Console Support
2146,lv-not,"tcp, udp",Live Vault Admin Event Notification
2147,lv-auth,"tcp, udp",Live Vault Authentication
2148,veritas-ucl,"tcp, udp",VERITAS UNIVERSAL COMMUNICATION LAYER
2149,acptsys,"tcp, udp",ACPTSYS
2150,dynamic3d,"tcp, udp",DYNAMIC3D
2151,docent,"tcp, udp",DOCENT
2152,gtp-user,"tcp, udp",GTP-User Plane (3GPP)
2153,ctlptc,"tcp, udp",Control Protocol
2154,stdptc,"tcp, udp",Standard Protocol
2155,brdptc,"tcp, udp",Bridge Protocol
2156,trp,"tcp, udp",Talari Reliable Protocol
2157,xnds,"tcp, udp",Xerox Network Document Scan Protocol
2158,touchnetplus,"tcp, udp",TouchNetPlus Service
2159,gdbremote,"tcp, udp",GDB Remote Debug Port
2160,apc-2160,"tcp, udp",APC 2160
2161,apc-2161,"tcp, udp",APC 2161
2162,navisphere,"tcp, udp",Navisphere
2163,navisphere-sec,"tcp, udp",Navisphere Secure
2164,ddns-v3,"tcp, udp",Dynamic DNS Version 3
2165,x-bone-api,"tcp, udp",X-Bone API
2166,iwserver,"tcp, udp",iwserver
2167,raw-serial,"tcp, udp",Raw Async Serial Link
2168,easy-soft-mux,"tcp, udp",easy-soft Multiplexer
2169,brain,"tcp, udp",Backbone for Academic Information Notification (BRAIN)
2170,eyetv,"tcp, udp",EyeTV Server Port
2171,msfw-storage,"tcp, udp",MS Firewall Storage
2172,msfw-s-storage,"tcp, udp",MS Firewall SecureStorage
2173,msfw-replica,"tcp, udp",MS Firewall Replication
2174,msfw-array,"tcp, udp",MS Firewall Intra Array
2175,airsync,"tcp, udp",Microsoft Desktop AirSync Protocol
2176,rapi,"tcp, udp",Microsoft ActiveSync Remote API
2177,qwave,"tcp, udp",qWAVE Bandwidth Estimate
2178,bitspeer,"tcp, udp",Peer Services for BITS
2179,vmrdp,"tcp, udp",Microsoft RDP for virtual machines
2180,mc-gt-srv,"tcp, udp",Millicent Vendor Gateway Server
2181,eforward,"tcp, udp",eforward
2182,cgn-stat,"tcp, udp",CGN status
2183,cgn-config,"tcp, udp",Code Green configuration
2184,nvd,"tcp, udp",NVD User
2185,onbase-dds,"tcp, udp",OnBase Distributed Disk Services
2186,gtaua,"tcp, udp",Guy-Tek Automated Update Applications
2187,"ssmd, ssmc","tcp, udp","Sepehr System Management Data, Sepehr System Management Control"
2188,radware-rpm,"tcp, udp",Radware Resource Pool Manager
2189,radware-rpm-s,"tcp, udp",Secure Radware Resource Pool Manager
2190,tivoconnect,"tcp, udp",TiVoConnect Beacon
2191,tvbus,"tcp, udp",TvBus Messaging
2192,asdis,"tcp, udp",ASDIS software management
2193,drwcs,"tcp, udp",Dr.Web Enterprise Management Service
2194,nan,,Unassigned
2195,nan,,Unassigned
2196,nan,,Unassigned
2197,mnp-exchange,"tcp, udp",MNP data exchange
2198,onehome-remote,"tcp, udp",OneHome Remote Access
2199,onehome-help,"tcp, udp",OneHome Service Port
2201,ats,"tcp, udp",Advanced Training System Program
